,noun_id,label,pred
0,rikitake__139,rikitake,rikitake
1,rikitake__1,rikitake,rikitake
2,lorenz__405,lorenz,lorenz
3,rikitake__362,rikitake,rikitake
4,chua__316,chua,chua
5,lorenz__223,lorenz,lorenz
6,rikitake__426,rikitake,rikitake
7,rossler__127,rossler,rossler
8,lorenz__301,lorenz,lorenz
9,duffing__289,duffing,duffing
10,rikitake__353,rikitake,rikitake
11,duffing__190,duffing,duffing
12,rikitake__343,rikitake,rikitake
13,chua__496,chua,chua
14,rossler__228,rossler,rossler
15,chua__369,chua,chua
16,rossler__298,rossler,rossler
17,chua__85,chua,chua
18,duffing__108,duffing,duffing
19,duffing__178,duffing,duffing
20,lorenz__168,lorenz,lorenz
21,lorenz__186,lorenz,lorenz
22,rikitake__463,rikitake,rikitake
23,rikitake__490,rikitake,rikitake
24,chua__99,chua,chua
25,rikitake__495,rikitake,rikitake
26,rossler__53,rossler,rossler
27,chua__255,chua,chua
28,chua__111,chua,chua
29,rossler__45,rossler,rossler
30,rossler__147,rossler,rossler
31,rikitake__167,rikitake,rikitake
32,rossler__311,rossler,rossler
33,rossler__173,rossler,rossler
34,chua__8,chua,chua
35,duffing__465,duffing,duffing
36,duffing__226,duffing,duffing
37,lorenz__44,lorenz,lorenz
38,duffing__401,duffing,duffing
39,rikitake__162,rikitake,rikitake
40,rikitake__161,rikitake,rikitake
41,rossler__377,rossler,rossler
42,chua__439,chua,chua
43,rikitake__18,rikitake,rikitake
44,duffing__6,duffing,duffing
45,rossler__49,rossler,rossler
46,lorenz__122,lorenz,lorenz
47,rikitake__451,rikitake,rikitake
48,lorenz__203,lorenz,lorenz
49,rossler__187,rossler,rossler
50,lorenz__191,lorenz,lorenz
51,rossler__103,rossler,rossler
52,rossler__445,rossler,rossler
53,lorenz__121,lorenz,lorenz
54,lorenz__397,lorenz,lorenz
55,lorenz__483,lorenz,lorenz
56,rikitake__35,rikitake,rikitake
57,duffing__446,duffing,duffing
58,lorenz__499,lorenz,lorenz
59,rossler__266,rossler,rossler
60,chua__231,chua,chua
61,duffing__312,duffing,duffing
62,chua__276,chua,chua
63,rossler__4,rossler,rossler
64,duffing__296,duffing,duffing
65,rikitake__256,rikitake,rikitake
66,rossler__337,rossler,rossler
67,rossler__177,rossler,rossler
68,lorenz__491,lorenz,lorenz
69,duffing__354,duffing,duffing
70,lorenz__31,lorenz,chua
71,lorenz__14,lorenz,lorenz
72,rossler__280,rossler,rossler
73,chua__353,chua,chua
74,duffing__36,duffing,duffing
75,lorenz__349,lorenz,lorenz
76,rossler__370,rossler,rossler
77,lorenz__166,lorenz,lorenz
78,rikitake__341,rikitake,rikitake
79,rikitake__336,rikitake,rikitake
80,rikitake__378,rikitake,rikitake
81,chua__257,chua,chua
82,rossler__20,rossler,rossler
83,rossler__201,rossler,rossler
84,rossler__101,rossler,rossler
85,rossler__128,rossler,rossler
86,chua__446,chua,chua
87,duffing__356,duffing,duffing
88,lorenz__58,lorenz,lorenz
89,duffing__234,duffing,duffing
90,rossler__467,rossler,rossler
91,chua__19,chua,chua
92,duffing__85,duffing,duffing
93,duffing__457,duffing,duffing
94,duffing__484,duffing,duffing
95,rikitake__130,rikitake,rikitake
96,duffing__257,duffing,duffing
97,lorenz__391,lorenz,lorenz
98,duffing__408,duffing,duffing
99,rossler__172,rossler,rossler
100,duffing__182,duffing,duffing
101,duffing__15,duffing,duffing
102,lorenz__417,lorenz,lorenz
103,duffing__334,duffing,duffing
104,chua__344,chua,chua
105,lorenz__262,lorenz,lorenz
106,rikitake__278,rikitake,rikitake
107,chua__376,chua,chua
108,chua__468,chua,chua
109,rikitake__472,rikitake,rikitake
110,duffing__47,duffing,duffing
111,lorenz__297,lorenz,lorenz
112,lorenz__296,lorenz,lorenz
113,lorenz__99,lorenz,lorenz
114,chua__223,chua,chua
115,rossler__366,rossler,rossler
116,duffing__17,duffing,duffing
117,duffing__373,duffing,duffing
118,rossler__29,rossler,rossler
119,duffing__229,duffing,duffing
120,rossler__131,rossler,rossler
121,duffing__404,duffing,duffing
122,lorenz__285,lorenz,lorenz
123,chua__245,chua,chua
124,lorenz__176,lorenz,lorenz
125,duffing__415,duffing,duffing
126,chua__128,chua,chua
127,duffing__411,duffing,duffing
128,lorenz__402,lorenz,lorenz
129,rikitake__413,rikitake,rikitake
130,rikitake__308,rikitake,rikitake
131,rikitake__368,rikitake,rikitake
132,chua__374,chua,chua
133,chua__373,chua,chua
134,duffing__66,duffing,duffing
135,rikitake__145,rikitake,rikitake
136,duffing__140,duffing,duffing
137,rikitake__78,rikitake,rikitake
138,rossler__220,rossler,rossler
139,rossler__63,rossler,rossler
140,rikitake__172,rikitake,rikitake
141,duffing__279,duffing,duffing
142,chua__458,chua,chua
143,chua__159,chua,chua
144,lorenz__321,lorenz,lorenz
145,rikitake__14,rikitake,rikitake
146,rossler__196,rossler,rossler
147,rossler__156,rossler,rossler
148,lorenz__412,lorenz,lorenz
149,duffing__366,duffing,duffing
150,lorenz__233,lorenz,lorenz
151,chua__303,chua,chua
152,rossler__464,rossler,rossler
153,duffing__219,duffing,duffing
154,duffing__189,duffing,duffing
155,rossler__483,rossler,rossler
156,rossler__300,rossler,rossler
157,duffing__74,duffing,duffing
158,chua__79,chua,chua
159,rikitake__397,rikitake,rikitake
160,lorenz__155,lorenz,lorenz
161,rikitake__184,rikitake,rikitake
162,duffing__3,duffing,duffing
163,chua__101,chua,chua
164,rikitake__210,rikitake,rikitake
165,duffing__163,duffing,duffing
166,duffing__409,duffing,duffing
167,duffing__452,duffing,duffing
168,rossler__290,rossler,rossler
169,lorenz__320,lorenz,lorenz
170,chua__71,chua,chua
171,rossler__475,rossler,rossler
172,rossler__5,rossler,rossler
173,duffing__447,duffing,duffing
174,duffing__487,duffing,duffing
175,rossler__35,rossler,rossler
