,noun_id,label,pred
0,duffing__22,duffing,duffing
1,rossler__132,rossler,rossler
2,rikitake__0,rikitake,rikitake
3,rossler__350,rossler,rossler
4,rikitake__341,rikitake,rikitake
5,lorenz__159,lorenz,lorenz
6,lorenz__408,lorenz,lorenz
7,duffing__122,duffing,duffing
8,lorenz__168,lorenz,lorenz
9,rossler__486,rossler,rossler
10,rossler__469,rossler,rossler
11,lorenz__4,lorenz,lorenz
12,lorenz__239,lorenz,lorenz
13,rossler__47,rossler,rossler
14,duffing__52,duffing,duffing
15,lorenz__176,lorenz,lorenz
16,rossler__274,rossler,rossler
17,rossler__113,rossler,rossler
18,chua__42,chua,chua
19,rikitake__383,rikitake,rikitake
20,rikitake__488,rikitake,rikitake
21,duffing__260,duffing,duffing
22,duffing__341,duffing,duffing
23,chua__311,chua,chua
24,duffing__129,duffing,duffing
25,chua__137,chua,chua
26,rossler__208,rossler,rossler
27,rossler__271,rossler,rossler
28,rossler__408,rossler,rossler
29,rikitake__3,rikitake,rikitake
30,chua__66,chua,chua
31,rossler__118,rossler,rossler
32,duffing__232,duffing,duffing
33,rikitake__105,rikitake,rikitake
34,rossler__230,rossler,rossler
35,chua__482,chua,chua
36,lorenz__156,lorenz,lorenz
37,chua__473,chua,chua
38,rossler__297,rossler,rossler
39,rossler__285,rossler,rossler
40,duffing__434,duffing,duffing
41,rikitake__237,rikitake,rikitake
42,lorenz__221,lorenz,lorenz
43,rikitake__436,rikitake,rikitake
44,chua__437,chua,chua
45,rikitake__414,rikitake,rikitake
46,duffing__426,duffing,duffing
47,rossler__334,rossler,rossler
48,lorenz__356,lorenz,lorenz
49,chua__37,chua,chua
50,chua__257,chua,chua
51,lorenz__100,lorenz,lorenz
52,chua__107,chua,chua
53,rikitake__254,rikitake,rikitake
54,rossler__191,rossler,rossler
55,rikitake__382,rikitake,rikitake
56,lorenz__190,lorenz,lorenz
57,lorenz__30,lorenz,lorenz
58,lorenz__143,lorenz,lorenz
59,chua__141,chua,chua
60,rikitake__253,rikitake,rikitake
61,lorenz__86,lorenz,lorenz
62,lorenz__3,lorenz,lorenz
