,noun_id,label,pred
0,duffing__101,duffing,duffing
1,rikitake__244,rikitake,rikitake
2,chua__210,chua,chua
3,chua__4,chua,chua
4,rikitake__480,rikitake,rikitake
5,chua__384,chua,chua
6,rossler__217,rossler,rossler
7,duffing__363,duffing,duffing
8,chua__328,chua,chua
9,rossler__109,rossler,rossler
10,rossler__77,rossler,rossler
11,rikitake__368,rikitake,rikitake
12,rossler__310,rossler,rossler
13,rikitake__393,rikitake,rikitake
14,duffing__177,duffing,duffing
15,duffing__39,duffing,duffing
16,rossler__20,rossler,rossler
17,lorenz__462,lorenz,lorenz
18,rossler__387,rossler,rossler
19,duffing__14,duffing,duffing
20,lorenz__246,lorenz,lorenz
21,rikitake__145,rikitake,rikitake
22,lorenz__222,lorenz,lorenz
23,rossler__56,rossler,rossler
24,duffing__359,duffing,duffing
25,chua__306,chua,chua
26,duffing__478,duffing,duffing
27,chua__8,chua,chua
28,lorenz__392,lorenz,lorenz
29,lorenz__499,lorenz,lorenz
30,lorenz__205,lorenz,lorenz
31,rikitake__277,rikitake,rikitake
32,lorenz__359,lorenz,lorenz
33,duffing__12,duffing,duffing
34,chua__395,chua,chua
35,lorenz__248,lorenz,lorenz
36,duffing__117,duffing,duffing
37,duffing__379,duffing,duffing
38,duffing__256,duffing,duffing
39,rikitake__160,rikitake,rikitake
40,rikitake__114,rikitake,rikitake
41,rikitake__369,rikitake,rikitake
42,rossler__26,rossler,rossler
43,rikitake__152,rikitake,rikitake
44,lorenz__237,lorenz,lorenz
45,chua__253,chua,chua
46,chua__250,chua,chua
47,rikitake__31,rikitake,rikitake
48,duffing__212,duffing,duffing
49,rossler__473,rossler,rossler
50,rikitake__249,rikitake,rikitake
51,rikitake__211,rikitake,rikitake
52,chua__360,chua,chua
53,rikitake__453,rikitake,rikitake
54,chua__278,chua,chua
55,duffing__205,duffing,duffing
56,rikitake__467,rikitake,rikitake
57,rikitake__470,rikitake,rikitake
58,rossler__131,rossler,rossler
59,rossler__379,rossler,rossler
60,rikitake__155,rikitake,rikitake
61,duffing__491,duffing,duffing
62,chua__105,chua,chua
63,duffing__161,duffing,duffing
64,rikitake__110,rikitake,rikitake
65,duffing__138,duffing,duffing
66,chua__296,chua,chua
67,lorenz__106,lorenz,lorenz
68,chua__49,chua,chua
69,rossler__239,rossler,rossler
70,duffing__353,duffing,duffing
71,lorenz__366,lorenz,lorenz
72,chua__231,chua,chua
73,lorenz__39,lorenz,lorenz
74,rossler__15,rossler,rossler
75,duffing__382,duffing,duffing
76,rikitake__210,rikitake,rikitake
77,lorenz__105,lorenz,lorenz
78,lorenz__361,lorenz,lorenz
79,lorenz__379,lorenz,lorenz
80,chua__312,chua,chua
81,chua__43,chua,chua
82,duffing__219,duffing,duffing
83,duffing__315,duffing,duffing
84,duffing__189,duffing,duffing
85,rikitake__304,rikitake,rikitake
86,duffing__345,duffing,duffing
87,duffing__9,duffing,duffing
88,duffing__319,duffing,duffing
89,rikitake__329,rikitake,rikitake
90,rossler__344,rossler,rossler
91,duffing__0,duffing,duffing
92,chua__166,chua,chua
93,chua__435,chua,chua
94,duffing__301,duffing,duffing
95,rossler__265,rossler,rossler
96,chua__195,chua,chua
97,lorenz__126,lorenz,lorenz
98,chua__403,chua,chua
99,rikitake__425,rikitake,rikitake
100,rossler__447,rossler,rossler
101,chua__191,chua,chua
102,rossler__189,rossler,rossler
103,chua__207,chua,chua
104,duffing__279,duffing,duffing
105,rikitake__34,rikitake,rikitake
106,rossler__244,rossler,rossler
107,lorenz__446,lorenz,lorenz
108,chua__120,chua,chua
109,chua__454,chua,chua
110,lorenz__298,lorenz,lorenz
111,chua__174,chua,chua
112,rossler__171,rossler,rossler
113,lorenz__110,lorenz,lorenz
114,duffing__464,duffing,duffing
115,rikitake__81,rikitake,rikitake
116,duffing__423,duffing,duffing
117,lorenz__405,lorenz,lorenz
118,lorenz__355,lorenz,lorenz
119,lorenz__132,lorenz,lorenz
120,duffing__343,duffing,duffing
121,rossler__178,rossler,rossler
122,rikitake__106,rikitake,rikitake
123,chua__99,chua,chua
124,duffing__354,duffing,duffing
125,chua__300,chua,chua
126,rossler__149,rossler,rossler
127,chua__450,chua,chua
128,rossler__451,rossler,rossler
129,duffing__408,duffing,duffing
130,rikitake__30,rikitake,rikitake
131,lorenz__260,lorenz,lorenz
132,lorenz__402,lorenz,lorenz
