,noun_id,label,pred
0,duffing__279,duffing,duffing
1,chua__458,chua,chua
2,chua__159,chua,chua
3,lorenz__321,lorenz,lorenz
4,rikitake__14,rikitake,rikitake
5,rossler__196,rossler,rossler
6,rossler__156,rossler,rossler
7,lorenz__412,lorenz,lorenz
8,duffing__366,duffing,duffing
9,lorenz__233,lorenz,lorenz
10,chua__303,chua,chua
11,rossler__464,rossler,rossler
12,duffing__219,duffing,duffing
13,duffing__189,duffing,duffing
14,rossler__483,rossler,rossler
15,rossler__300,rossler,rossler
16,duffing__74,duffing,duffing
17,chua__79,chua,chua
18,rikitake__397,rikitake,rikitake
19,lorenz__155,lorenz,lorenz
20,rikitake__184,rikitake,rikitake
21,duffing__3,duffing,duffing
22,chua__101,chua,chua
23,rikitake__210,rikitake,rikitake
24,duffing__163,duffing,duffing
25,duffing__409,duffing,duffing
26,duffing__452,duffing,duffing
27,rossler__290,rossler,rossler
28,lorenz__320,lorenz,lorenz
29,chua__71,chua,chua
30,rossler__475,rossler,rossler
31,rossler__5,rossler,rossler
32,duffing__447,duffing,duffing
33,duffing__487,duffing,duffing
34,rossler__35,rossler,rossler
35,chua__150,chua,chua
36,chua__293,chua,chua
37,duffing__398,duffing,duffing
38,rossler__136,rossler,rossler
39,rikitake__209,rikitake,rikitake
40,rikitake__496,rikitake,rikitake
41,duffing__86,duffing,duffing
42,duffing__22,duffing,duffing
43,rossler__86,rossler,rossler
44,chua__485,chua,chua
45,chua__205,chua,chua
46,chua__329,chua,chua
47,duffing__129,duffing,duffing
48,rikitake__375,rikitake,rikitake
49,lorenz__488,lorenz,lorenz
50,chua__401,chua,chua
51,rikitake__247,rikitake,rikitake
52,rikitake__102,rikitake,rikitake
53,rikitake__135,rikitake,rikitake
54,duffing__421,duffing,duffing
55,rossler__163,rossler,rossler
56,lorenz__22,lorenz,lorenz
57,chua__5,chua,chua
58,chua__379,chua,chua
59,duffing__485,duffing,duffing
60,duffing__353,duffing,duffing
61,rikitake__25,rikitake,rikitake
62,lorenz__403,lorenz,lorenz
63,chua__29,chua,chua
64,rikitake__110,rikitake,rikitake
65,chua__265,chua,chua
66,duffing__396,duffing,duffing
67,rossler__91,rossler,rossler
68,rikitake__415,rikitake,rikitake
69,chua__287,chua,chua
70,rossler__257,rossler,rossler
71,chua__160,chua,chua
72,chua__423,chua,chua
73,chua__44,chua,chua
74,rossler__152,rossler,rossler
75,rikitake__121,rikitake,rikitake
76,rossler__424,rossler,rossler
77,rossler__188,rossler,rossler
78,rikitake__9,rikitake,rikitake
79,duffing__13,duffing,duffing
80,chua__92,chua,chua
81,lorenz__15,lorenz,lorenz
82,rossler__119,rossler,rossler
83,duffing__376,duffing,duffing
84,rikitake__239,rikitake,rikitake
85,chua__70,chua,chua
86,duffing__0,duffing,duffing
87,rikitake__282,rikitake,rikitake
88,chua__298,chua,chua
89,chua__411,chua,chua
90,rossler__208,rossler,rossler
91,rikitake__487,rikitake,rikitake
92,duffing__159,duffing,duffing
93,lorenz__358,lorenz,lorenz
94,duffing__45,duffing,duffing
95,lorenz__255,lorenz,lorenz
96,chua__140,chua,chua
97,duffing__491,duffing,duffing
98,rikitake__395,rikitake,rikitake
99,lorenz__404,lorenz,lorenz
100,lorenz__182,lorenz,lorenz
101,lorenz__6,lorenz,lorenz
102,chua__162,chua,chua
103,duffing__220,duffing,duffing
104,duffing__365,duffing,duffing
105,lorenz__268,lorenz,lorenz
106,rikitake__474,rikitake,rikitake
107,chua__491,chua,chua
108,rikitake__457,rikitake,rikitake
109,duffing__126,duffing,duffing
110,lorenz__323,lorenz,lorenz
111,duffing__361,duffing,duffing
112,lorenz__131,lorenz,lorenz
113,lorenz__4,lorenz,lorenz
114,duffing__427,duffing,duffing
115,chua__355,chua,chua
116,rikitake__116,rikitake,rikitake
117,duffing__28,duffing,duffing
118,lorenz__258,lorenz,lorenz
119,duffing__7,duffing,duffing
120,rossler__100,rossler,rossler
121,duffing__113,duffing,duffing
122,chua__235,chua,chua
123,rikitake__153,rikitake,rikitake
124,rossler__278,rossler,rossler
125,rikitake__16,rikitake,rikitake
126,chua__225,chua,chua
127,rikitake__53,rikitake,rikitake
128,duffing__118,duffing,duffing
129,rikitake__47,rikitake,rikitake
130,rossler__161,rossler,rossler
131,lorenz__142,lorenz,lorenz
132,lorenz__339,lorenz,lorenz
133,rossler__284,rossler,rossler
134,lorenz__489,lorenz,lorenz
135,chua__428,chua,chua
136,duffing__426,duffing,duffing
137,rossler__165,rossler,rossler
138,rossler__359,rossler,rossler
139,rikitake__226,rikitake,rikitake
140,rossler__314,rossler,rossler
